model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
photonic_hybrid_svm_amplitude,44,14906,2000,10,,0.4011964140008786,0.07425354200677248,,0.022851744004583452,,0.3761342040015734,,0.002192176994867623,,0.003633505002653692,0.0350851609982783,0.035290049003378954,,0.0002358209967496805,,,0.26076708800246706,0.2603096579987323,
photonic_state_svm_angle,42,14906,2000,10,,2.0360315020006965,0.4123780380032258,,0.06875302200205624,,0.2162274099973729,1.7510162110047531,,,0.008452954003587365,0.021866870993108023,0.03263785099989036,0.3487436359937419,,,,0.16145231800328474,0.24094409000099404,
photonic_state_svm_angle,43,14906,2000,10,,2.2523107360029826,0.3962594309996348,,0.093952157003514,,0.2702946669960511,1.8880364299984649,,,0.008147289001499303,0.021980819998134393,0.032627039996441454,0.33290870799828554,,,,0.15990930399857461,0.23897610199492192,
photonic_state_svm_angle,44,14906,2000,10,,2.2133263510040706,0.3311982450031792,,0.069118466002692,,0.28984563300036825,1.8543349460014724,,,0.008422652994340751,0.023203130993351806,0.03495050299534341,0.2640708610051661,,,,0.17160257999785244,0.2526823159932974,
knn_classical,42,14906,2000,10,,0.011069285996200051,0.08167514499655226,,,,0.011061327000788879,,,,,0.04067552299966337,0.040992974005348515,,,,,0.2899321750010131,0.2868060049950145,
knn_classical,43,14906,2000,10,,0.010992153002007399,0.08466090200090548,,,,0.010984975000610575,,,,,0.042630151998309884,0.04202416799671482,,,,,0.30790495700057363,0.30471665899676736,
knn_classical,44,14906,2000,10,,0.010993491996487137,0.08586840899806703,,,,0.01098539699887624,,,,,0.043368826001824345,0.04249261800578097,,,,,0.3084354099992197,0.3066931650027982,
state_knn_angle,42,14906,2000,10,10,2.6448079960027826,2.0087874050004757,,2.6439062809949974,0.0005226289940765128,,,,1.2050983599983738,0.282883703999687,3.7367994082160294e-05,2.6659996365197003e-05,,,0.5203039949992672,7.687315980998392,0.00016085399693110958,2.7656999009195715e-05,3.8562150610014214
state_knn_angle,43,14906,2000,10,10,2.6628948630022933,2.2027428840010543,,2.6623094850001507,0.0002172070016968064,,,,1.2982457999969483,0.38789181200263556,3.602699871407822e-05,2.989100175909698e-05,,,0.5161189650025335,7.746633290000318,0.00016031799896154553,2.6310000976081938e-05,3.851090865995502
state_knn_angle,44,14906,2000,10,10,2.705013314000098,1.9473564159998205,,2.704434900995693,0.00020737599697895348,,,,1.1443686540005729,0.28604813299898524,3.504200140014291e-05,2.7981004677712917e-05,,,0.5163848380034324,7.94864790399879,0.0001605440047569573,2.564999886089936e-05,3.8570069869965664
state_knn_amplitude,42,14906,2000,10,4,1.9376275120011996,1.0056874090005294,,1.9371480159970815,0.00022164099937072024,,,,0.23265735799941467,0.23136779199558077,3.4759003028739244e-05,2.9237002308946103e-05,,,0.5411638759978814,1.4866975249969983,0.00015853399963816628,2.643300103954971e-05,4.048703377004131
state_knn_amplitude,43,14906,2000,10,4,1.9680386330001056,1.0026218260027235,,1.9675526549981441,0.00021742300305049866,,,,0.22552786499727517,0.2369572320021689,3.448699862929061e-05,2.8809001378249377e-05,,,0.5395506529966951,1.4282411489984952,0.00016481000056955963,2.5431996618863195e-05,4.010634849997587
state_knn_amplitude,44,14906,2000,10,4,1.967356662004022,1.0109367019977071,,1.966891365002084,0.00020616199617506936,,,,0.23267252599907806,0.23651098399568582,3.718999505508691e-05,3.3347998396493495e-05,,,0.5412397680047434,1.5278805960042519,0.00015919799625407904,2.3790002160239965e-05,4.03800140000385
hybrid_knn_angle,42,14906,2000,10,10,4.286878776998492,0.7094357019959716,,4.274068342994724,0.00022687100135954097,0.011196576997463126,,0.0012583720017573796,,0.5866403209947748,0.06207726700085914,0.06043569100438617,,0.0002720519987633452,,,0.43514091899851337,0.4357227920045261,
hybrid_knn_angle,43,14906,2000,10,10,4.683282676996896,0.7172154830041109,,4.670019885998045,0.00021164899953873828,0.011473607999505475,,0.0014392079974641092,,0.5811438919990906,0.06843120200210251,0.06735928299895022,,0.0002696450028452091,,,0.488186050002696,0.49502379600016866,
hybrid_knn_angle,44,14906,2000,10,10,5.440167828004633,0.7786954839975806,,5.426622243998281,0.00021978899894747883,0.011706341996614356,,0.001474601995141711,,0.6262198310068925,0.07707504300196888,0.07509501500317128,,0.0002955229938379489,,,0.5262890049998532,0.5128153990008286,
hybrid_knn_amplitude,42,14906,2000,10,4,2.6436209959938424,0.459414281998761,,2.635742995997134,0.00021741900127381086,0.006632144999457523,,0.0009882699960144237,,0.4445666019964847,0.00862680199497845,0.005768693998106755,,0.00043665400153258815,,,0.0310281540005235,0.026961824994941708,
hybrid_knn_amplitude,43,14906,2000,10,4,2.8358597330006887,0.410639285997604,,2.8298529149979004,0.00019064499792875722,0.004838546999963,,0.0009506910064374097,,0.401778169994941,0.00449545199808199,0.004103608996956609,,0.000251272002060432,,,0.030039414996281266,0.027788956998847425,
hybrid_knn_amplitude,44,14906,2000,10,4,2.53766027099482,0.42619100699812407,,2.5303675859977375,0.0002110679997713305,0.006036462000338361,,0.001014446999761276,,0.41474904699862236,0.006835300999227911,0.004258312001184095,,0.00033792499743867666,,,0.028651051004999317,0.026342446995840874,
photonic_hybrid_knn_angle,42,14906,2000,120,,1.8473224590052268,0.6117944099969463,1.6040615149977384,0.0029005169999436475,,0.2283175479969941,,0.012004887001239695,0.21989264599687885,2.1675994503311813e-05,0.1955580489957356,0.1951551859965548,,0.000742272000934463,,,0.8608812250022311,0.8621686510014115,
photonic_hybrid_knn_angle,43,14906,2000,120,,1.8789482499996666,0.6249035180007922,1.6345662710009492,0.0031354839957202785,,0.22949004999827594,,0.011725174001185223,0.21825617700233124,1.8284998077433556e-05,0.20333809099975042,0.2020344019983895,,0.0007723189992248081,,,0.9255866740058991,0.9118478050004342,
photonic_hybrid_knn_angle,44,14906,2000,120,,1.9215010019979673,0.6208125679986551,1.6748507450029138,0.0031600369984516874,,0.23124667400406906,,0.01221263700426789,0.2158256699985941,1.5999001334421337e-05,0.20481630699941888,0.19903672999498667,,0.0006946859939489514,,,0.8816281070030527,0.8747587209945777,
photonic_hybrid_knn_amplitude,42,14906,2000,10,,1.7833015009964583,0.5955206069993437,1.5516697350030881,0.0012064499969710596,,0.2281784860024345,,0.0022168450013850816,0.19981559699954232,3.243100218242034e-05,0.1978035979991546,0.19720902900007786,,0.0002508789984858595,,,0.8708838279999327,0.8686455709976144,
photonic_hybrid_knn_amplitude,43,14906,2000,10,,1.7727974709996488,0.6108124730017153,1.538866375994985,0.0011394090033718385,,0.23069243399368133,,0.002070260001346469,0.1995683610002743,2.5018998712766916e-05,0.20455364499503048,0.2059572969956207,,0.0002736609967541881,,,0.9195277629987686,0.9178804350012797,
photonic_hybrid_knn_amplitude,44,14906,2000,10,,1.7510571949969744,0.6125698420000845,1.5186993070019525,0.0011878519944730215,,0.22896445600053994,,0.0021768180013168603,0.2037114240010851,2.102800499415025e-05,0.2013888119981857,0.2068149210026604,,0.00024527200002921745,,,0.9044431660004193,0.9013290130023961,
photonic_state_knn_angle,42,14906,2000,10,,2.538879308005562,0.7521193909997237,0.48199781899893424,0.0030579550002585165,,0.22837896100099897,1.8254115269955946,,0.06545580400415929,2.0093000784981996e-05,0.19711160199949518,0.19659403699915856,0.29183120900415815,,,,0.8703996030017151,0.86833435799781,
photonic_state_knn_angle,43,14906,2000,10,,2.553944794999552,0.7829671750005218,0.489545590004127,0.0029732819966739044,,0.22903158300323412,1.8323592969973106,,0.06693390200234717,2.8210000891704112e-05,0.2027012280013878,0.2016689750016667,0.31065528500039363,,,,0.9060504879962537,0.9043740260021877,
photonic_state_knn_angle,44,14906,2000,10,,2.60116178500175,0.7458410340041155,0.4897816230004537,0.0029575450025731698,,0.22883530100079952,1.8795570700021926,,0.06506830899888882,1.799900201149285e-05,0.20159717700153124,0.20013191700127209,0.2781182250037091,,,,0.8961650529963663,0.9004116279975278,
