family,model,n_seeds,n_test,roc_auc,roc_auc_std,fpr,tpr,tpr_std
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.0,0.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.01,0.32,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.02,0.32,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.03,0.32,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.04,0.64,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.05,0.64,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.06,0.64,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.07,0.64,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.08,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.09,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.1,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.11,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.12,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.13,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.14,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.15,0.8,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.16,0.84,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.17,0.84,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.18,0.84,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.19,0.84,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.2,0.92,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.21,0.92,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.22,0.92,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.23,0.92,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.24,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.25,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.26,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.27,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.28,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.29,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.3,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.31,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.32,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.33,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.34,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.35000000000000003,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.36,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.37,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.38,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.39,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.4,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.41000000000000003,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.42,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.43,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.44,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.45,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.46,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.47000000000000003,1.0,0.0
svm,state_svm_amplitude,1,50,0.9328000000000001,0.0,0.48,1.0,0.0
