model,seed,n_train,n_test,n_features,n_qubits,train_time_s,predict_time_s,profile_fit_distance_s,profile_fit_encode_s,profile_fit_encoder_setup_s,profile_fit_estimator_s,profile_fit_similarity_s,profile_fit_standardize_s,profile_predict_distance_s,profile_predict_encode_s,profile_predict_estimator_predict_s,profile_predict_score_s,profile_predict_similarity_s,profile_predict_standardize_s,profile_predict_vote_s,profile_train_predict_distance_s,profile_train_predict_estimator_predict_s,profile_train_predict_score_s,profile_train_predict_vote_s
hybrid_svm_zz,42,5608,2000,8,8,10.470420924000791,3.9103682929999195,,10.026602167999954,0.00020327599486336112,0.44260912800382357,,0.0009478350038989447,,3.549261205997027,0.18396166399907088,0.1768213570030639,,0.0003104409988736734,,,0.49655594200157793,0.49456005599495256,
hybrid_knn_angle,42,5608,2000,8,8,1.3291368110003532,0.4977349049950135,,1.3240136300009908,0.00019390100351301953,0.003893149994837586,,0.0009865219981293194,,0.4654019179943134,0.016076940002676565,0.015981930002453737,,0.0002643350017024204,,,0.04282257700106129,0.042287506999855395,
hybrid_knn_amplitude,42,5608,2000,8,3,0.9063757070034626,0.36890585900255246,,0.9037338540001656,0.00020150199998170137,0.0016986010014079511,,0.0007204889989225194,,0.36126318599417573,0.003958855006203521,0.0034239640008308925,,0.00024905299505917355,,,0.009327773004770279,0.008734641000046395,
hybrid_knn_zz,42,5608,2000,8,8,10.038014958998247,3.654337444000703,,10.03276336399722,0.0002027810041909106,0.004093698997166939,,0.0009047029961948283,,3.5477651269975468,0.05336426400026539,0.05290900399995735,,0.00028823200409533456,,,0.14404041899979347,0.14256968299741857,
photonic_hybrid_svm_angle,42,5608,2000,56,,0.9560055879992433,0.16347340499487473,,0.7761635459974059,,0.17712529900018126,,0.0026892800015048124,,0.004693227994721383,0.079014063005161,0.0792925589994411,,0.00046069599920883775,,,0.22015793200262124,0.22046442900318652,
photonic_hybrid_svm_amplitude,42,5608,2000,10,,0.14338876800320577,0.10867239099752624,,0.012949516996741295,,0.12931113399827154,,0.0011110470004496165,,0.0038717930001439527,0.05220676099997945,0.052339982001285534,,0.0002455380017636344,,,0.1468906930022058,0.146225812000921,
photonic_state_svm_angle,42,5608,2000,8,,0.3715816920012003,0.10897884899895871,,0.014935300998331513,,0.0781635959938285,0.2784559080027975,,,0.004801340000994969,0.020062314004462678,0.024459217995172366,0.05964017299993429,,,,0.04567114599922206,0.05460735499946168,
photonic_hybrid_knn_angle,42,5608,2000,56,,0.2756871460005641,0.18034236700623296,0.23859029300365364,0.001850010005000513,,0.03287213499424979,,0.0023408470005961135,0.05313767299958272,1.7466998542658985e-05,0.06737060999876121,0.05938170899753459,,0.00042223199852742255,,,0.14549817299848655,0.14679148700088263,
photonic_hybrid_knn_amplitude,42,5608,2000,10,,0.2658164800013765,0.1745476409996627,0.23049174899642821,0.0011663299956126139,,0.03302565600461094,,0.001103326998418197,0.04704307700012578,2.8312999347690493e-05,0.06769512900064001,0.05955009900208097,,0.00021911899966653436,,,0.1453263200019137,0.14504447099898243,
photonic_state_knn_angle,42,5608,2000,8,,0.32378216000506654,0.20708789100171998,0.0687604740014649,0.0020800389975192957,,0.032884446998650674,0.22002718300063862,,0.018205347005277872,1.6650999896228313e-05,0.06605593600397697,0.059808158002852,0.06298687899834476,,,,0.14820278499973938,0.14772485199500807,
